Id,Date,Text,Cleaned Text,,tfidfC_binary__score,IG__score,PMI__score,LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,LDA9,LDA10,LDA11,LDA12,LDA13,LDA14,LDA15,LDA16,LDA17,BTM1,BTM2,BTM3,BTM4,BTM5,BTM6,BTM7,BTM8,BTM9,BTM10,BTM11,BTM12,BTM13,BTM14,BTM15,BTM16,BTM17,tfidfC_unary__score,svmLinear_prob__1,Manual label (Ground Truth)
1,10/23/2018 5:25,RT @Izner_Narvenkar: National Steel Policy envisages  achievement of crude steel capacity of of MT. Current steel production is .MT.,izner_narvenkar national steel policy envisages achievement crude steel capacity mt current steel production mt,,0.021554888,14.45206058,7.585840732,0.045955882,0.217830882,0.045955882,0.061580882,0.045955882,0.061580882,0.045955882,0.045955882,0.045955882,0.061580882,0.045955882,0.045955882,0.045955882,0.045955882,0.045955882,0.045955882,0.045955882,0.014870658,0.013907142,0.002028685,0.000945943,0.003177923,0.010981028,0.000265105,0.009882955,0.007785497,0.046076595,0.001649862,0.766450102,0.085974267,0.007300723,0.010344635,0.01491122,0.003447663,351.9716743,1,1
2,10/23/2018 4:30,"Svamitva Steel industry is one of the leaders supplier, dealer and exporter of high qualityInconel pipes &amp; tubes  a https://t.co/JawkgqBpMU",svamitva steel industry one leaders supplier dealer exporter high qualityinconel pipes amp tubes,,0.006371533,8.457091644,-0.862136128,0.046685341,0.062558357,0.046685341,0.046685341,0.078431373,0.046685341,0.078431373,0.062558357,0.046685341,0.046685341,0.062558357,0.094304388,0.046685341,0.094304388,0.046685341,0.046685341,0.046685341,0.000428157,0.011512024,0.003246098,0.00260087,0.14763025,0.045772151,0.000144638,0.0504254,0.00759325,0.048369729,0.001911301,0.564855283,0.014098726,0.010101612,0.004333601,0.03426511,0.0527118,125.138831,0.982399309,1
3,10/23/2018 2:35,"#Vanadium Supply Constraints





China was largest producer at % of supply





Ban on slag imports to China implemented https://t.co/YQFojsaMQ",vanadium supply constraints china largest producer supply ban slag imports china implemented,,0.006340974,10.81844373,11.09192528,0.063567362,0.04743833,0.063567362,0.04743833,0.04743833,0.063567362,0.04743833,0.04743833,0.063567362,0.04743833,0.04743833,0.04743833,0.04743833,0.095825427,0.04743833,0.128083491,0.04743833,0.005066984,2.61E-06,7.24E-09,6.25E-05,0.003496578,0.00189688,0.000170094,0.711691857,0.030625255,0.006852895,1.08E-08,0.078522513,0.142752784,0.015271917,0.00306991,0.000437335,7.98E-05,148.9073062,1,0
4,10/22/2018 22:47,"RT @antoni_UK: /"" [...] the car industry and other manufacturing [...] you are going to have to run it down. [...] just as in the same way",antoni_uk car industry manufacturing going run way,,0.000274624,3.887310874,3.533305919,0.051599587,0.051599587,0.051599587,0.051599587,0.069143447,0.051599587,0.069143447,0.051599587,0.121775026,0.051599587,0.051599587,0.051599587,0.051599587,0.069143447,0.051599587,0.051599587,0.051599587,0.000101485,0.001131655,1.32E-10,0.000223215,0.000130066,0.018174975,0.000226338,0.000947124,0.013327728,0.000136616,0.001187907,0.947134001,0.005383384,0.002468852,0.008981831,3.47E-05,0.000410116,28.55892711,0.089659136,0
5,10/22/2018 21:20,"RT @KyleKashuv: Odd. Here are some of the lies Obama said:





https://t.co/RgmAnRsJE





https://t.co/enfgUqu





https://t.co/EPcQacU





http",kylekashuv odd lies obama said  ,,-0.000293662,-0.300365383,1.987931538,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.053475936,0.144385027,5.78E-08,4.17E-08,7.28E-12,2.68E-05,4.50E-08,0.000153689,1.09E-08,0.99906814,0.000150816,1.93E-07,9.38E-09,0.000131681,0.000460907,7.40E-06,3.38E-09,1.38E-07,4.10E-08,2.321497252,2.03E-05,0
6,10/22/2018 19:53,Tariffs on foreign aluminum and steel appear to be far more destructive to domestic industry than the administratio https://t.co/juZij,tariffs foreign aluminum steel appear far destructive domestic industry administratio,,0.006364478,6.531234159,3.193592913,0.049019608,0.049019608,0.049019608,0.065686275,0.082352941,0.065686275,0.082352941,0.049019608,0.065686275,0.049019608,0.049019608,0.065686275,0.082352941,0.049019608,0.049019608,0.049019608,0.049019608,0.000218073,0.007400432,0.016948657,0.000618215,0.006778491,0.05650904,2.23E-05,0.058795092,0.703839412,0.003556425,0.002326782,0.107563342,0.017708859,0.003711023,0.005967239,0.00496297,0.003073662,127.446231,0.912981789,1
7,10/22/2018 19:46,Domestic steel prices are soaring and US Steel workers are set to get the biggest pay raise in at least  years! https://t.co/guNEnWFaq,domestic steel prices soaring us steel workers set get biggest pay raise least years,,0.017415064,13.12408197,-1.129912406,0.045955882,0.045955882,0.061580882,0.045955882,0.045955882,0.061580882,0.077205882,0.061580882,0.108455882,0.061580882,0.061580882,0.045955882,0.092830882,0.045955882,0.045955882,0.045955882,0.045955882,0.004298551,0.014145311,0.042763467,0.001315751,0.029376002,0.031957251,7.09E-05,0.021066227,0.323927332,0.051526482,0.000516002,0.425949149,0.020504495,0.01392618,0.013744736,0.003924537,0.000987659,326.8260732,1,1
8,10/22/2018 15:37,@TheView @Scaramucci Where did the Wall Street Journal get the stats about wage growth??  NO ONE and I repeat NO ON https://t.co/WETqnZ,theview scaramucci wall street journal get stats wage growth one repeat,,-0.000680445,4.152103536,-1.514896414,0.048216008,0.048216008,0.048216008,0.048216008,0.048216008,0.048216008,0.06460945,0.081002893,0.081002893,0.048216008,0.06460945,0.081002893,0.048216008,0.048216008,0.06460945,0.06460945,0.06460945,0.000206065,0.000239154,8.39E-06,0.000456769,0.000426096,0.053831694,0.001241928,0.006510629,0.012417648,0.807775435,1.14E-07,0.110946627,0.00234442,0.001672291,0.001042848,0.00087072,9.17E-06,17.96525054,0.015935876,0
9,10/22/2018 3:46,"RT @JSPLCorporate: #Interview ""Long rails are not easy to import, while we can easily supply m long rails. Several rail projects have be",jsplcorporate interview long rails easy import easily supply long rails several rail projects,,0.003298551,7.641598558,4.775818017,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.046685341,0.062558357,0.237161531,0.046685341,5.01E-06,8.37E-07,1.19E-10,1.17E-08,4.31E-05,0.001759921,2.07E-10,0.99599827,0.000681006,0.000135547,7.42E-09,5.34E-05,0.001081348,1.77E-06,1.37E-05,0.000220631,5.43E-06,67.98332039,0.993140528,0
10,10/22/2018 0:36,"RT @SURSDIK: Steel Industry


https://t.co/rxGoNSUNN",sursdik steel industry,,0.006139856,2.657414256,1.321993335,0.055493896,0.055493896,0.055493896,0.055493896,0.055493896,0.07436182,0.07436182,0.055493896,0.07436182,0.055493896,0.055493896,0.055493896,0.055493896,0.055493896,0.055493896,0.055493896,0.055493896,0.000781313,0.062919227,0.034599328,0.00147533,0.007051529,0.018828389,0.000283169,0.115512125,0.035276843,0.009833364,0.034317083,0.048863919,0.499859575,0.007576213,0.009396397,0.067867094,0.045559105,102.2821998,0.003797055,0
